user_id,city_clean,region,device_raw,device_brand,device_class,device_range,device_model_norm
jQ0XMSjemFUyddpqc7Y2JSUwlI13,hawassa,sidama,JDY-AN00,huawei,midrange,midrange,jdy-an00
YJFBUkJ9vSflxoKJ4x1DljQRgon1,other,other,TECNO KM5,tecno,budget,budget,tecno km5
4NcQdyF7Iieetm238zYZ2DXWZE03,other,other,SM-E135F,samsung,midrange,midrange,sm-e135f
SwXpEr8sZsgWtwTQl6hTNSgpxZF3,other,other,SM-E135F,samsung,midrange,midrange,sm-e135f
X862aT1zI6Vw4rTSLkKPMQrdSYH2,other,other,,other,budget,budget,
mTa9HLVC1UVf1YHibR2iXH9QkET2,other,other,SM-E045F,samsung,midrange,midrange,sm-e045f
BBkuBQvy77MmcBMFKRskvjoOY3j2,mizan teferi,southwest ethiopia,Infinix X655F,infinix,budget,budget,infinix x655f
JtLoBsLjlKS5XG22yRXvMwUlQDB3,other,other,TECNO BG6i,tecno,budget,budget,tecno bg6i
QdPVbFGh9AgY3WeGJ8K8cKavCeO2,other,other,Infinix X6516,infinix,budget,budget,infinix x6516
ACh7H1A41oQqa6Zpjb4aO1kClsP2,addis ababa,addis ababa,SM-A207F,samsung,midrange,upper_midrange,sm-a207f
BqGtn3nJy6a0tWPes5wTXeXF9gG2,other,other,SM-A022G,samsung,midrange,midrange,sm-a022g
RhQf4NzqtzfQZdVE0EjWIndCgMr1,addis ababa,addis ababa,TECNO KL4,tecno,budget,budget,tecno kl4
ip3lafkSBmdm7r6eI2UpLLXKAh13,addis ababa,addis ababa,,other,budget,budget,
hgwPJxScMrgVg7JrnidOCdrBwY63,addis ababa,addis ababa,,other,budget,budget,
Cw4eaSA4quNRVJrtVCWCzknhnif2,addis ababa,addis ababa,TECNO KJ5,tecno,budget,budget,tecno kj5
B4i54fbmwmM2XkU7ivDdQ9nFFE93,hawassa,sidama,Infinix X624B,infinix,budget,budget,infinix x624b
iE55eOQF5zapG40mWoNZ0ypDTFx2,other,other,P20HD_EEA,other,budget,budget,p20hd_eea
CIesrI6Z9oVlCFoQU3b1fHbgA8U2,shashamane,oromia,,other,budget,budget,
T5HkLFmKvHXXfBWniESJ8WQGUKS2,other,other,SM-A135F,samsung,midrange,midrange,sm-a135f
qD7JxSa6xdSVKhG5Z6CanyV1WEo2,harar,harari,SM-A528B,samsung,midrange,upper_midrange,sm-a528b
3OFQH0AhHIO12cfloXoWgIpY2tZ2,jimma,oromia,,other,budget,budget,
rFhWjo2UF7Tb9c6Qc62V4p4vqgZ2,gondar,amhara,Lenovo TB-8504X,lenovo,midrange,upper_midrange,lenovo tb-8504x
atcfLzUDf0W0vl5ea0XaXErpp6z2,other,other,RMP2102,realme,midrange,upper_midrange,rmp2102
jcCWjsY10hg8w0b5ZK5A8A83wN22,butajira,south ethiopia,SM-J600F,samsung,midrange,upper_midrange,sm-j600f
7seFYsljXwdpO3Sb1lxzG3otyBV2,bonga,southwest ethiopia,,other,budget,budget,
n2DRFKGO4uXr6EkoR4eyZ0a9sIy2,other,other,SM-A115F,samsung,midrange,midrange,sm-a115f
C6UTau1bwDMCjljjrOXQ3ZTIAMJ3,arba minch,south ethiopia,,other,budget,budget,
ia7y0Q4fdXT3o8CbdvWaIsgxDUh2,arba minch,south ethiopia,,other,budget,budget,
rUCN9s12VbY34bIVizylyyxaRfh1,other,other,SM-M045F,samsung,midrange,midrange,sm-m045f
XDfO8yt4sjMCx21t5LgNQWUPG613,hawassa,sidama,Infinix X688B,infinix,budget,budget,infinix x688b
jF3yV4VadDhv6xEvX9MeRscoOl82,bahir dar,amhara,,other,budget,budget,
TQRskmm7QsY9ZPtBqoAw4ALkgsE3,addis ababa,addis ababa,,other,budget,budget,
Ez1W7YRMhIYYLMa5jkzlDRhE1TS2,other,other,TECNO KJ5,tecno,budget,budget,tecno kj5
5ayMSKLUl6RXWPvJtOsk2XmWq4b2,addis ababa,addis ababa,ZTE Blade A31 Lite,zte,budget,budget,zte blade a31 lite
1zTynGW6bhdCgDdgsrcoqGrcUZG3,other,other,,other,budget,budget,
4kMHZUlWIIeNVu6nRLpImKh3GGG2,addis ababa,addis ababa,SM-A155M,samsung,midrange,upper_midrange,sm-a155m
hSKjUX1hLnYRNEfC58opYsHC3zI2,sodo,south ethiopia,,other,budget,budget,
DIMd5dQb0sUoKOvFFTGLRx3Mqyp1,addis ababa,addis ababa,,other,budget,budget,
8lDK3QnYtjZKlwFOGgsLi4rTHjZ2,addis ababa,addis ababa,,other,budget,budget,
g5aIc16RCoVMiGcXRnfqaCDw3Sr1,addis ababa,addis ababa,BLU LIFE XL,blu,budget,budget,blu life xl
OtJu6FZKdZcWQ7sknunFoyVQr7F2,addis ababa,addis ababa,SM-G965F,samsung,midrange,upper_midrange,sm-g965f
bEm25uK4uOYFlCup9iCVLzmj0U12,bale robe,oromia,SM-M025F,samsung,midrange,midrange,sm-m025f
eZ6tXdh5crRyoJ9wzoXhSu5w9mz2,addis ababa,addis ababa,SM-A217F,samsung,midrange,upper_midrange,sm-a217f
2BBlMCj1kHgg1URbb9e7rihm6ip2,jijiga,somali,SM-N960F,samsung,midrange,upper_midrange,sm-n960f
XG1rH9gDZmbwr48Izf69JYwqdnS2,other,other,,other,budget,budget,
yYHOkGLAsMQGS8UkFp69kj3qfjn2,addis ababa,addis ababa,,other,budget,budget,
7iVUh7oKChOtcGAFklLImvmu7Rb2,other,other,,other,budget,budget,
dpkZOomGu3f4ZwidHAkNEoS3SZx1,other,other,,other,budget,budget,
1V8eHPNQnJc7mP8sXNsQM3I2A5n1,other,other,SM-M127G,samsung,midrange,midrange,sm-m127g
VTq4e4nE5PMXYW6r0TMsv3NbfDl2,other,other,SM-A032F,samsung,midrange,midrange,sm-a032f
zfddKkE9cLgYW61ktl0CyjTQ8eZ2,hawassa,sidama,SM-A025U,samsung,midrange,midrange,sm-a025u
SbXxjT8WiMTkAQ0aN8XRGslH7HE2,addis ababa,addis ababa,vivo Y66,vivo,midrange,midrange,vivo y66
VKNkmwCk2bUL0aFUO6prdWJiHGE3,addis ababa,addis ababa,,other,budget,budget,
2biD9oL6TVT0qQTCTyORL4Jp4EB3,mekelle,tigray,,other,budget,budget,
MJ3TGpDJ8ANBHM9NbGQjxLPuSuf1,goba,oromia,TECNO CK6,tecno,budget,budget,tecno ck6
VGzvivKuv8NC5UODVxiMGBtv8872,other,other,,other,budget,budget,
wuiiWckL7AQXbNwYsxhg9Uf31su2,addis ababa,addis ababa,,other,budget,budget,
V1KN0765jHQUMh8a9Qr5TS2bRl92,addis ababa,addis ababa,,other,budget,budget,
85q0g2S3FjbKF55Axlm7eyXOpZl1,sodo,south ethiopia,TECNO KJ5,tecno,budget,budget,tecno kj5
eYeBp8DTaOcvS05YhkAOhlh6nNk1,bale robe,oromia,SM-A155F,samsung,midrange,upper_midrange,sm-a155f
hYq2WzShrlWI3HHdFtdLOQxa2Ym2,other,other,,other,budget,budget,
B5ZIxGaSfYOuBXd3ZVcYwju09dI3,dire dawa,dire dawa,SM-A115F,samsung,midrange,midrange,sm-a115f
ZBNaXXvBEQMsJAEbAgVqF5pGTJ63,other,other,SM-A145F,samsung,midrange,upper_midrange,sm-a145f
QIgRYn3fc8T2l2IR9c4zOt6lSb13,mekelle,tigray,,other,budget,budget,
rM6QChlTgEYwxrcIjoXI65vOOD33,addis ababa,addis ababa,SM-M135FU,samsung,midrange,midrange,sm-m135fu
ZlpyoKvS5FMLGSCRAWZunxKLvVa2,jijiga,somali,SM-A042F,samsung,midrange,midrange,sm-a042f
gBlz6QW6ubcHvHEFzCFbTB0q13c2,addis ababa,addis ababa,BLU LIFE XL,blu,budget,budget,blu life xl
HrH8o2SvkdMh5f04qwNaW3Zyz2x1,sodo,south ethiopia,TECNO BF6,tecno,budget,budget,tecno bf6
BwGnlzV7fgVo7OGrs0NxlbyOfs52,addis ababa,addis ababa,,other,budget,budget,
XSzTxPqpvBRXW1Mlsm3QeqNI4m33,hawassa,sidama,DE2117,other,budget,budget,de2117
Gx8b55I4Vgh67xUXXgyLSI5xDPk2,other,other,SM-A245F,samsung,midrange,upper_midrange,sm-a245f
NnsoQShFZ6fWDy2aqnEV2k5XBaH3,debre tabor,amhara,,other,budget,budget,
m9DLz0Qi7zbl1BTORVwPIHPV2Qq1,other,other,TECNO KD7,tecno,budget,budget,tecno kd7
xlCHkXxTelXNVoNmFQVsUuRn3Kg1,woliso,oromia,,other,budget,budget,
7meB60lywjSTNZGpVMWerdv8Mky1,adama,oromia,,other,budget,budget,
b1d18PcaCMd85JlrpllmEXjLgdq2,other,other,TECNO KD7,tecno,budget,budget,tecno kd7
O1sbftHabXQo7PwqFSECtf19GnW2,other,other,,other,budget,budget,
BaD8QenLjMedMUUZcvwICwOOyv03,addis ababa,addis ababa,SM-A516N,samsung,midrange,upper_midrange,sm-a516n
Hk6BT0w18OaOkleUzGx7Af3fObA3,other,other,SM-M135FU,samsung,midrange,midrange,sm-m135fu
wMMRl3nYPLSvfRji4GJhVDJAwxF2,other,other,,other,budget,budget,
kj56XtzveRQyCFsOgukTqA62VSX2,addis ababa,addis ababa,,other,budget,budget,
zW2JJrEahMfA6lt0dPUeTyFXCrE3,goba,oromia,Infinix X657,infinix,budget,budget,infinix x657
bEH2iAcb1gfGD0wpg8nNupJD0Sn1,other,other,,other,budget,budget,
POU6Lw1r3ifRz3SXVyVG4C8NzW43,hawassa,sidama,TECNO CI6,tecno,budget,budget,tecno ci6
kUkFXG29JgY2RziBrhUuFH4CjxT2,bonga,southwest ethiopia,,other,budget,budget,
6pO2DKTObhXlz08bowIYkufKne23,hawassa,sidama,TECNO KF7j,tecno,budget,budget,tecno kf7j
wQoU0GwqXGaItzoQTmjzxwXBkY92,addis ababa,addis ababa,TECNO KG5k,tecno,budget,budget,tecno kg5k
HmzD1NOp10NKdEijpxNHAU8h81Z2,other,other,,other,budget,budget,
4CGcBTVCGvgzYHv7rQ8h4fw9AIz1,addis ababa,addis ababa,,other,budget,budget,
87JMfpnYHGYY96rUVEI0ebRQXsf2,goba,oromia,Infinix X657,infinix,budget,budget,infinix x657
wBfvPafryyVXRqCO2krj3fWpunh1,other,other,SM-J415F,samsung,midrange,upper_midrange,sm-j415f
fwoGN3xHYldEyBiuT21nThVXLsE3,other,other,Infinix X6816C,infinix,budget,budget,infinix x6816c
Jb3wzLowIkRhlq1Gi88l3NMVcNB2,other,other,,other,budget,budget,
1rmjQpCrUlPd6pE50eQrTPjLhtB2,other,other,,other,budget,budget,
Qb85RNdlbbXtcct7qD5k3HfNUI42,addis ababa,addis ababa,SM-A536E,samsung,midrange,upper_midrange,sm-a536e
U6UMZZIJhFdQbWDHVzxwIjtoi1x2,moyale,oromia,,other,budget,budget,
prNxziy9SgSiwRUJ4NaSZl3WES73,other,other,itel W5505,itel,budget,budget,itel w5505
ZueIDdmbjNeQDAIybvcAzif4g4q2,other,other,,other,budget,budget,
mDs4rTqwUfTnHNGz2tqfny9MAZ02,other,other,TECNO KI5k,tecno,budget,budget,tecno ki5k
5oZCK1EcI7Q8DZFvWru2n1Sl20Y2,other,other,,other,budget,budget,
59YOm0CIKqVzvaYUWWrdVEpKObJ2,other,other,TECNO KG5k,tecno,budget,budget,tecno kg5k
vQTo0ex8TCPHIIzNXM0xCVXBUtc2,addis ababa,addis ababa,SM-A107F,samsung,midrange,midrange,sm-a107f
HdxSf2hDMvSzabar4sAdmg7UG5I3,bonga,southwest ethiopia,Infinix X6816C,infinix,budget,budget,infinix x6816c
bGELvnaqabcrgPdgzmXsF50Er7G2,other,other,TECNO KI7,tecno,budget,budget,tecno ki7
MH2uSs8KU1VpqZ5phGyntR9FnKK2,other,other,Infinix X6517,infinix,budget,budget,infinix x6517
jEk62ZouwWP1aSegoq9wg0QI9qg1,bahir dar,amhara,SM-M055F,samsung,midrange,midrange,sm-m055f
4UbL5XiwoaNSkc56CPxYjzEsnj33,hosaina,south ethiopia,TECNO KI5q,tecno,budget,budget,tecno ki5q
acFQJsYxfwYK9hjpqIHcns8n1le2,other,other,,other,budget,budget,
oL2UocVD1pWsh6Rh4E4n5KalLgp2,dilla,south ethiopia,TECNO BE8,tecno,budget,budget,tecno be8
FICSVnMzZgQipKH0eG8a2SCBlu63,hawassa,sidama,Infinix X650C,infinix,budget,budget,infinix x650c
N8WVJWLyoyPTOj9qVOICvkgDpWa2,other,other,TECNO BF6,tecno,budget,budget,tecno bf6
mMDM3zTesYgF0MqiuqYUDMEqpJU2,gondar,amhara,,other,budget,budget,
4LlxZcXWl5dzs2vUwYQ4v7vUNrs2,addis ababa,addis ababa,SM-A037F,samsung,midrange,midrange,sm-a037f
u7X6FwAhJTYMxc07oQBAa17YVW13,other,other,TECNO KG5p,tecno,budget,budget,tecno kg5p
cDjOHtqg2VM9WXnw7ERbTOx61mI3,other,other,Infinix X655C,infinix,budget,budget,infinix x655c
F5WHkRlI4UfozfGFbaSzoXwZ6V42,addis ababa,addis ababa,,other,budget,budget,
eC7oCttsppgML0WJ9WqagoLARoi2,other,other,SM-M146B,samsung,midrange,upper_midrange,sm-m146b
